BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL(WIB)	WAKTU(WIB)	RADIUS KEMUNGKINAN	TIPE
110.9823	-6.9077	8	JAWA	JAWA TENGAH	PATI	KAYEN	SNPP	2023-08-24	00:07:45	1125	Pixel		
110.9845	-6.9050	8	JAWA	JAWA TENGAH	PATI	KAYEN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.1105	-6.8745	8	JAWA	JAWA TENGAH	PATI	WINONG	SNPP	2023-08-24	12:45:57	1125	Pixel		
109.4312	-6.9741	8	JAWA	JAWA TENGAH	PEMALANG	AMPELGADING	SNPP	2023-08-24	12:45:57	1125	Pixel		
109.4228	-7.1077	8	JAWA	JAWA TENGAH	PEMALANG	BANTARBOLANG	SNPP	2023-08-24	12:45:57	1125	Pixel		
109.3389	-7.0071	8	JAWA	JAWA TENGAH	PEMALANG	PEMALANG	NOAA20	2023-08-24	13:38:34	1125	Pixel		
111.5458	-6.8065	8	JAWA	JAWA TENGAH	REMBANG	SEDAN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
110.4269	-7.2273	7	JAWA	JAWA TENGAH	SEMARANG	BAWEN	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.3514	-7.0190	8	JAWA	JAWA TENGAH	SEMARANG	NGALIYAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.3333	-6.9669	8	JAWA	JAWA TENGAH	SEMARANG	TUGU	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.1302	-7.3650	8	JAWA	JAWA TENGAH	SRAGEN	SAMBUNG MACAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.1330	-7.3645	8	JAWA	JAWA TENGAH	SRAGEN	SAMBUNG MACAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.1291	-7.3708	8	JAWA	JAWA TENGAH	SRAGEN	SAMBUNG MACAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.1319	-7.3703	8	JAWA	JAWA TENGAH	SRAGEN	SAMBUNG MACAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.0899	-7.3257	8	JAWA	JAWA TENGAH	SRAGEN	JENAR	NOAA20	2023-08-24	00:58:57	1125	Pixel		
109.0608	-7.0748	8	JAWA	JAWA TENGAH	TEGAL	BALAPULANG	NOAA20	2023-08-24	00:58:57	1125	Pixel		
109.2420	-6.9920	8	JAWA	JAWA TENGAH	TEGAL	KEDUNGBANTENG	SNPP	2023-08-24	12:45:57	1125	Pixel		
109.0587	-7.0840	8	JAWA	JAWA TENGAH	TEGAL	MARGASARI	NOAA20	2023-08-24	13:38:34	1125	Pixel		
109.0564	-7.0814	8	JAWA	JAWA TENGAH	TEGAL	MARGASARI	SNPP	2023-08-24	12:45:57	1125	Pixel		
110.8815	-8.0881	8	JAWA	JAWA TENGAH	WONOGIRI	GIRITONTRO	NOAA20	2023-08-24	13:38:34	1125	Pixel		
112.9598	-6.8929	8	JAWA	JAWA TIMUR	BANGKALAN	SEPULU	AQUA	2023-08-24	13:18:00	3000	Pixel		
114.1010	-8.3962	8	JAWA	JAWA TIMUR	BANYUWANGI	GLENMORE	SNPP	2023-08-24	12:45:57	1125	Pixel		
112.4297	-8.1386	8	JAWA	JAWA TIMUR	BLITAR	SELOREJO	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.8654	-7.2749	7	JAWA	JAWA TIMUR	BOJONEGORO	DANDER	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.8118	-7.3751	8	JAWA	JAWA TIMUR	BOJONEGORO	GONDANG	NOAA20	2023-08-24	13:38:34	1125	Pixel		
111.7705	-7.0994	8	JAWA	JAWA TIMUR	BOJONEGORO	MALO	AQUA	2023-08-24	13:18:00	3000	Pixel		
111.7713	-7.0975	8	JAWA	JAWA TIMUR	BOJONEGORO	MALO	NOAA20	2023-08-24	13:38:34	1125	Pixel		
111.7752	-7.0968	9	JAWA	JAWA TIMUR	BOJONEGORO	MALO	NOAA20	2023-08-24	13:38:34	1125	Pixel		
111.5485	-7.3304	8	JAWA	JAWA TIMUR	BOJONEGORO	MARGOMULYO	NOAA20	2023-08-24	13:38:34	1125	Pixel		
111.5481	-7.3309	8	JAWA	JAWA TIMUR	BOJONEGORO	MARGOMULYO	NOAA20	2023-08-24	13:38:34	1125	Pixel		
111.5177	-7.3139	8	JAWA	JAWA TIMUR	BOJONEGORO	MARGOMULYO	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.6969	-7.3613	8	JAWA	JAWA TIMUR	BOJONEGORO	NGAMBON	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.7310	-7.3672	7	JAWA	JAWA TIMUR	BOJONEGORO	NGAMBON	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.7342	-7.2396	8	JAWA	JAWA TIMUR	BOJONEGORO	NGASEM	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.7326	-7.2403	8	JAWA	JAWA TIMUR	BOJONEGORO	NGASEM	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.7712	-7.2136	7	JAWA	JAWA TIMUR	BOJONEGORO	NGASEM	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.5792	-7.3015	8	JAWA	JAWA TIMUR	BOJONEGORO	TAMBAKREJO	SNPP	2023-08-24	12:45:57	1125	Pixel		
111.6452	-7.3506	7	JAWA	JAWA TIMUR	BOJONEGORO	TAMBAKREJO	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.8221	-7.9330	8	JAWA	JAWA TIMUR	BONDOWOSO	BONDOWOSO	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.8224	-7.9311	8	JAWA	JAWA TIMUR	BONDOWOSO	BONDOWOSO	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.7974	-7.8863	8	JAWA	JAWA TIMUR	BONDOWOSO	CURAHDAMI	NOAA20	2023-08-24	00:58:57	1125	Pixel		
113.7938	-7.8858	8	JAWA	JAWA TIMUR	BONDOWOSO	CURAHDAMI	NOAA20	2023-08-24	00:58:57	1125	Pixel		
113.7790	-7.9307	7	JAWA	JAWA TIMUR	BONDOWOSO	CURAHDAMI	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.9641	-7.8654	8	JAWA	JAWA TIMUR	BONDOWOSO	KLABANG	SNPP	2023-08-24	12:45:57	1125	Pixel		
